band,wavelength_nm,2018,2025,Both years
210,1550,0.17875363919688042,0.19880533610797793,0.19403269476677149
211,1560,0.2015524473907964,0.22100356429744417,0.21480669210012393
212,1560,0.1802938094487093,0.20891025064279786,0.2006169431190831
213,1570,0.15564672177011993,0.18480454406847993,0.1770576613986768
214,1570,0.169664571551641,0.19818579953504536,0.18917908402922512
215,1580,0.17935111097874026,0.21162209150259934,0.20253713915257743
216,1580,0.16768158193962765,0.20524114653618927,0.19283029784276537
217,1590,0.16262790440154776,0.2091099757284226,0.19447772407812572
218,1590,0.15498190220202726,0.20505539718933025,0.1888277279258816
219,1600,0.1414108136125537,0.19488054778568403,0.17735690645178845
220,1600,0.13823008396863845,0.19142042450792757,0.17322073727018314
221,1610,0.12047416049084811,0.17829817013003882,0.15839328783948767
222,1610,0.1385158477001963,0.19182447831329014,0.17253492913104176
223,1620,0.13249164961095744,0.18779782201481243,0.16724397682437234
224,1620,0.11904206015500343,0.17621886218894614,0.15535357481293388
225,1630,0.12073020666672205,0.18097945258728892,0.15888554057066517
226,1630,0.12673813960875438,0.19210730033828657,0.16849476854818957
227,1640,0.11721780383159165,0.18083733933994708,0.15787032651493635
228,1640,0.12289115947576369,0.19239806917453112,0.16719169473817783
229,1650,0.11965685813266619,0.18721985595977944,0.16355342051440194
230,1650,0.13761635157802074,0.20999075345134094,0.18478040335141618
231,1660,0.13262205432402951,0.201736538491297,0.17903560600035837
232,1660,0.1482799924820759,0.21340066821972092,0.1910600962646738
233,1670,0.1558497706188084,0.213879629383016,0.19343186376040483
234,1670,0.15208786892148818,0.20870750379857242,0.18880736964306485
235,1680,0.1440802584501138,0.19637713639289991,0.17722054104646956
236,1680,0.12679460994702862,0.17934884254064648,0.1597403294172918
237,1690,0.12323853179436059,0.17456914532650392,0.15614588975744634
238,1690,0.12957557076843612,0.17427369211160212,0.15755958631989156
239,1700,0.13227621375060666,0.17577009735579616,0.16020661251821225
240,1700,0.14949606929673318,0.1833767630029674,0.17129577641746022
241,1710,0.17744330373216138,0.20804165659666007,0.1965863664870035
242,1710,0.18812845532799335,0.21347847828356165,0.2041286883798889
243,1720,0.18581987410913234,0.21209991607900264,0.20488794578001968
244,1720,0.18439805663080566,0.21525590381440662,0.20525153832380968
245,1730,0.18170419862298268,0.2104370094882718,0.20466398745049103
