x_utm,y_utm,snow_free_doy,doy_band,domain,tile
350007.5,4287539.5,119.89546203613281,early,ALMO,ALMO_2025_mosaic_rfl_350000_4287000.nc
339556.5,4285161.5,93.865264892578125,early,ALMO,ALMO_2025_mosaic_rfl_339000_4285000.nc
342289.5,4281386.5,108.23479461669922,early,ALMO,ALMO_2025_mosaic_rfl_342000_4281000.nc
330937.5,4311029.5,128.4071807861328,early,CRBU,CRBU_2025_mosaic_rfl_330000_4311000.nc
339256.5,4277080.5,85.8230209350586,early,ALMO,ALMO_2025_mosaic_rfl_339000_4277000.nc
339661.5,4291620.5,100.86145782470703,early,ALMO,ALMO_2025_mosaic_rfl_339000_4291000.nc
337868.5,4287278.5,100.60075378417969,early,ALMO,ALMO_2025_mosaic_rfl_337000_4287000.nc
333625.5,4303089.5,113.71656036376953,early,CRBU,CRBU_2025_mosaic_rfl_333000_4303000.nc
361637.5,4310188.5,126.44123077392578,early,UPTA,UPTA_2025_mosaic_rfl_361000_4310000.nc
336589.5,4308839.5,120.75446319580078,early,CRBU,CRBU_2025_mosaic_rfl_336000_4308000.nc
350349.5,4280914.5,98.40460205078125,early,ALMO,ALMO_2025_mosaic_rfl_350000_4280000.nc
340529.5,4284272.5,95.9696044921875,early,ALMO,ALMO_2025_mosaic_rfl_340000_4284000.nc
338736.5,4292140.5,101.46205139160156,early,ALMO,ALMO_2025_mosaic_rfl_338000_4292000.nc
340703.5,4284575.5,97.13616943359375,early,ALMO,ALMO_2025_mosaic_rfl_340000_4284000.nc
336406.5,4308560.5,124.28577423095703,early,CRBU,CRBU_2025_mosaic_rfl_336000_4308000.nc
344118.5,4280143.5,113.67616271972656,early,ALMO,ALMO_2025_mosaic_rfl_344000_4280000.nc
337583.5,4291323.5,108.6407470703125,early,ALMO,ALMO_2025_mosaic_rfl_337000_4291000.nc
343229.5,4278815.5,98.41087341308594,early,ALMO,ALMO_2025_mosaic_rfl_343000_4278000.nc
332400.5,4310680.5,121.63943481445312,early,CRBU,CRBU_2025_mosaic_rfl_332000_4310000.nc
359847.5,4309098.5,129.1739501953125,early,UPTA,UPTA_2025_mosaic_rfl_359000_4309000.nc
340916.5,4281839.5,102.4476318359375,early,ALMO,ALMO_2025_mosaic_rfl_340000_4281000.nc
326103.5,4307371.5,125.1422348022461,early,CRBU,CRBU_2025_mosaic_rfl_326000_4307000.nc
350136.5,4279827.5,104.68905639648438,early,ALMO,ALMO_2025_mosaic_rfl_350000_4279000.nc
359118.5,4313251.5,127.00126647949219,early,UPTA,UPTA_2025_mosaic_rfl_359000_4313000.nc
335415.5,4306263.5,119.11465454101562,early,CRBU,CRBU_2025_mosaic_rfl_335000_4306000.nc
340856.5,4277692.5,86.63922882080078,early,ALMO,ALMO_2025_mosaic_rfl_340000_4277000.nc
341472.5,4291560.5,101.86743927001953,early,ALMO,ALMO_2025_mosaic_rfl_341000_4291000.nc
328571.5,4307107.5,128.50274658203125,early,CRBU,CRBU_2025_mosaic_rfl_328000_4307000.nc
337640.5,4280608.5,79.46553802490234,early,ALMO,ALMO_2025_mosaic_rfl_337000_4280000.nc
342217.5,4282815.5,92.366363525390625,early,ALMO,ALMO_2025_mosaic_rfl_342000_4282000.nc
331700.5,4311296.5,128.65882873535156,early,CRBU,CRBU_2025_mosaic_rfl_331000_4311000.nc
331799.5,4299806.5,125.21713256835938,early,CRBU,CRBU_2025_mosaic_rfl_331000_4299000.nc
349481.5,4286299.5,116.940185546875,early,ALMO,ALMO_2025_mosaic_rfl_349000_4286000.nc
348751.5,4277548.5,122.7294692993164,early,ALMO,ALMO_2025_mosaic_rfl_348000_4277000.nc
347466.5,4285956.5,104.34843444824219,early,ALMO,ALMO_2025_mosaic_rfl_347000_4285000.nc
331268.5,4310239.5,120.79325866699219,early,CRBU,CRBU_2025_mosaic_rfl_331000_4310000.nc
328670.5,4305032.5,118.65438842773438,early,CRBU,CRBU_2025_mosaic_rfl_328000_4305000.nc
348718.5,4282227.5,105.83982849121094,early,ALMO,ALMO_2025_mosaic_rfl_348000_4282000.nc
343583.5,4282662.5,109.17627716064453,early,ALMO,ALMO_2025_mosaic_rfl_343000_4282000.nc
