x_utm,y_utm,domain,snow_free_doy,canopy_height_m,predicted_label,nearest_class,nearest_d,second_class,second_d,margin,ood_flag
343118.5,4287302.5,ALMO,100.05482482910156,0,S01,S18,14.143101564490575,S24.b,14.553354536695851,0.4102529722052761,TRUE
341238.5,4287047.5,ALMO,109.9928207397461,0,S04,S05.b,14.451721908043016,S18,14.79986318977779,0.3481412817347742,TRUE
348061.5,4290491.5,ALMO,105.94213104248048,2.381999969482422,S02,S18,15.509439402275019,S02,15.724221432625017,0.21478203034999765,TRUE
342505.5,4282131.5,ALMO,111.46961212158205,0,S18,S24.b,16.70012560050711,S24.a,16.93245949658675,0.23233389607963773,TRUE
341094.5,4284275.5,ALMO,81.068359375,0,S22,S24.b,18.724816731534787,S24.a,18.84032887852603,0.11551214699124301,TRUE
340145.5,4283773.5,ALMO,98.2034149169922,0,S05.a,S05.b,13.798019569116436,S01,13.909591153600228,0.11157158448379256,TRUE
345400.5,4285083.5,ALMO,104.45098876953124,0,S18,S18,16.748897457821663,S22,16.92570538652011,0.17680792869844808,TRUE
339604.5,4283407.5,ALMO,80.115020751953125,0,S24.b,S24.b,17.738191750435135,S24.a,17.9713722280727,0.2331804776375641,TRUE
339694.5,4282389.5,ALMO,89.79627990722656,0,S24.a,S24.b,17.657457364992467,S24.a,17.72498379044894,0.06752642545647092,TRUE
340880.5,4280407.5,ALMO,103.46954345703124,0,S18,S24.b,17.64402663385116,S24.a,17.96674191410213,0.3227152802509714,TRUE
347352.5,4277065.5,ALMO,127.6173324584961,0,S05.b,S05.b,12.279014655070286,S05.a,12.998433103178044,0.7194184481077581,TRUE
347580.5,4280344.5,ALMO,106.78688049316406,2.3949999809265137,S04,S05.b,12.357666227203687,S04,12.421411587832095,0.06374536062840797,TRUE
348319.5,4282311.5,ALMO,91.5319595336914,0,S25,S24.b,16.629863954549506,S24.a,16.91936673340309,0.2895027788535849,TRUE
339562.5,4283212.5,ALMO,87.61007690429686,0,S25,S24.b,16.691291256971738,S24.a,16.788778942768005,0.09748768579626699,TRUE
348289.5,4281461.5,ALMO,102.1008529663086,0.24699999392032623,S25,S24.b,17.51427679287214,S18,17.59849336201709,0.08421656914495301,TRUE
347934.5,4285488.5,ALMO,104.32345581054688,0.2939999997615814,S04,S04,14.324051057377678,S25,14.336961640410575,0.012910583032896383,TRUE
346961.5,4282503.5,ALMO,110.2847900390625,0,S05.b,S05.b,15.626343628954865,S22,16.011793575515693,0.38544994656082743,TRUE
346436.5,4283608.5,ALMO,107.87477111816406,0,S18,S18,14.226493518428033,S25,14.47694527246271,0.25045175403467823,TRUE
346487.5,4282083.5,ALMO,98.09812927246094,0,S25,S24.b,17.03089344787968,S25,17.045148013820842,0.014254565941161701,TRUE
348283.5,4281134.5,ALMO,98.62958526611328,0,S22,S24.b,17.710624380985433,S24.a,17.994821128900714,0.2841967479152814,TRUE
339406.5,4283743.5,ALMO,89.95823669433594,0,S24.a,S24.b,19.73327150900306,S24.a,19.94655788529175,0.21328637628868918,TRUE
344739.5,4285398.5,ALMO,104.63866424560548,0,S04,S01,13.031968474454695,S05.b,13.10683516114792,0.07486668669322505,TRUE
341184.5,4286605.5,ALMO,109.75617218017578,0,S01,S18,12.931177917705991,S19,13.070565117778612,0.13938720007262084,TRUE
343775.5,4285023.5,ALMO,112.56341552734376,0,S24.b,S24.b,17.22060905545855,S24.a,17.57226948220306,0.3516604267445089,TRUE
337958.5,4292248.5,ALMO,103.04146575927734,0,S22,S22,18.70061434305754,S18,19.206662884641077,0.5060485415835352,TRUE
352226.5,4280719.5,ALMO,118.03499603271484,1.559999942779541,S04,S10,11.47013612907761,S05.b,11.859770961823303,0.38963483274569377,TRUE
347130.5,4282890.5,ALMO,108.19589233398438,0.25,S24.a,S24.b,18.205115864807716,S24.a,18.505419778260773,0.30030391345305674,TRUE
343901.5,4282143.5,ALMO,107.2911148071289,0,S22,S22,18.885814213061916,S24.b,18.90734791759941,0.021533704537493037,TRUE
337994.5,4287728.5,ALMO,108.6448745727539,0,S19,S26,10.848852678369214,S10,11.100451536700096,0.25159885833088147,TRUE
349622.5,4280455.5,ALMO,80.93627166748047,0,S18,S25,16.110666180421862,S01,16.238925437511778,0.12825925708991548,TRUE
341565.5,4282170.5,ALMO,108.8590850830078,0,S18,S24.b,15.907942314277552,S18,16.038301143022096,0.1303588287445443,TRUE
