band_number,wavelength_nm,delta,sd_diff,n_pairs
118,970,-0.0014787887870052168,0.007305746715997377,1057
119,975,-0.0014053190929207194,0.007178699715620369,1057
120,980,-0.0013614381821511663,0.007069123309939562,1057
121,985,-0.0012651203005938638,0.00700646559623113,1057
122,990,-0.0012056976186912746,0.006941976461414026,1057
123,995,-0.0011703957544108325,0.006911478532858027,1057
124,1000,-0.001155501948474553,0.006913221021123462,1057
125,1000,-0.0011213878629409034,0.00692325501818104,1057
126,1010,-0.0010955623689020832,0.00694662589031956,1057
127,1010,-0.0010809526208371383,0.0069798894189398945,1057
128,1020,-0.0010632853733419194,0.007022194820595369,1057
129,1020,-0.001055571639245293,0.007064023291647429,1057
130,1030,-0.001045473725667787,0.007095889825695539,1057
131,1030,-0.0010504416350445463,0.007126410452329358,1057
132,1040,-0.0010581099256318958,0.0071568970757439326,1057
133,1040,-0.0010809341573415345,0.007184755959184479,1057
134,1050,-0.0010907569227859536,0.007221739598654116,1057
135,1050,-0.0011022954203093983,0.007256377380329259,1057
136,1060,-0.001117482986789028,0.007294467480950028,1057
137,1060,-0.0011345381368654756,0.007333907469721691,1057
138,1070,-0.0011645275453838417,0.0073572625983784655,1057
139,1070,-0.0011833046117756582,0.007386511361334,1057
140,1080,-0.001205637144423401,0.007398790085385238,1057
141,1080,-0.0012096635503676023,0.007391072410446462,1057
142,1090,-0.0012148333713351987,0.00733714581420035,1057
143,1090,-0.0012236110029246882,0.0072746154356008895,1057
144,1100,-0.0012047668809551575,0.007205962663957145,1057
145,1110,-0.0011934006017538677,0.007114480002409016,1057
146,1110,-0.001201746685185701,0.007013032120865028,1057
147,1120,-0.0011994856777538588,0.006957832413752412,1057
148,1120,-0.001100755164597597,0.006920314449671059,1057
149,1130,-0.0010169995597033945,0.0068901647143155,1057
150,1130,-0.0010141064718526625,0.006757770670647794,1057
151,1140,-9.410171608250042e-4,0.006564074972648593,1057
152,1140,-9.67976973255812e-4,0.006334714229204696,1057
153,1150,-9.138654200807862e-4,0.006204974672397282,1057
154,1150,-8.493375515010249e-4,0.006054756755795135,1057
155,1160,-8.29934842010489e-4,0.005955936626104957,1057
156,1160,-8.255017564888412e-4,0.005919943954272416,1057
157,1170,-8.173272451506127e-4,0.005956617620209102,1057
158,1170,-8.046381634656659e-4,0.006010763262107328,1057
159,1180,-7.835998303921024e-4,0.006114732113761671,1057
160,1180,-7.588046140132931e-4,0.006230366748321099,1057
161,1190,-7.390274112278517e-4,0.006357487394109194,1057
162,1190,-7.057965395468075e-4,0.006493616222889615,1057
163,1200,-6.800437491394499e-4,0.006627797403523686,1057
164,1200,-6.79742674375143e-4,0.006756432611221536,1057
165,1210,-6.675703406532502e-4,0.006890635298251701,1057
166,1210,-6.810480949272618e-4,0.007004211576130782,1057
167,1220,-6.921302558724355e-4,0.007121527600563298,1057
168,1220,-6.758433001505155e-4,0.007227552710188449,1057
169,1230,-6.795705249855486e-4,0.007323535715641942,1057
170,1230,-6.886551024934016e-4,0.007419957955563814,1057
171,1240,-6.85704896465736e-4,0.007493093706647394,1057
172,1240,-6.866834058056045e-4,0.007558182729461155,1057
173,1250,-6.977361250540072e-4,0.007620843890788036,1057
174,1250,-6.995361707004388e-4,0.007649431207849579,1057
175,1260,-7.110485061409927e-4,0.007679368152699887,1057
176,1260,-7.13090699630315e-4,0.007695410624608648,1057
177,1270,-7.397883324459147e-4,0.00770504336867322,1057
178,1270,-7.506813305475214e-4,0.007703501517390767,1057
179,1280,-7.418157290204314e-4,0.007697491183412814,1057
180,1280,-7.374766591957304e-4,0.007689473251213831,1057
181,1290,-7.427731394170418e-4,0.007675593790508273,1057
182,1290,-7.400332041195681e-4,0.007660929048194749,1057
183,1300,-7.325860817295835e-4,0.007639799946108829,1057
184,1300,-7.322242808662137e-4,0.007629778789099383,1057
185,1310,-7.312712998143249e-4,0.007668736958434652,1057
186,1310,-7.18682361817471e-4,0.007588579075877352,1057
187,1320,-7.02193861495118e-4,0.0075827055294025916,1057
